VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,12/31/2018 11:59:47 PM,01/01/2019 12:37:49 AM,2,17.3,2,N,132,161,2,52,0,0.5,0,0,0.3,52.8
1,12/31/2018 11:59:46 PM,01/01/2019 12:32:22 AM,3,15.2,1,N,132,71,1,43.5,0.5,0.5,8.95,0,0.3,53.75
1,12/31/2018 11:59:45 PM,01/01/2019 12:24:40 AM,2,7.2,1,N,236,173,2,24.5,0.5,0.5,0,0,0.3,25.8
2,12/31/2018 11:59:44 PM,01/01/2019 12:47:48 AM,1,18.88,2,N,132,113,1,52,0,0.5,14.64,5.76,0.3,73.2
1,12/31/2018 11:59:41 PM,01/01/2019 12:01:24 AM,1,0.6,1,N,262,263,1,4,0.5,0.5,1.05,0,0.3,6.35
